wardname,wardcode,lganame,statename,year_month,event_count,total_fatalities,event_type_breakdown
Aba Town Hall,ABSABA02,Aba South,Abia,2018-10,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2019-01,1,0,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2019-02,2,0,{'Violence against civilians': 2}
Aba Town Hall,ABSABA02,Aba South,Abia,2019-06,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2019-08,2,1,"{'Riots': 1, 'Violence against civilians': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2019-09,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2019-10,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2020-02,2,0,{'Protests': 2}
Aba Town Hall,ABSABA02,Aba South,Abia,2020-04,2,1,"{'Riots': 1, 'Violence against civilians': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2020-05,1,0,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2020-07,1,1,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2020-08,3,1,"{'Violence against civilians': 1, 'Protests': 1, 'Riots': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2020-09,3,2,"{'Violence against civilians': 1, 'Battles': 1, 'Protests': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2020-10,4,5,"{'Riots': 2, 'Violence against civilians': 1, 'Battles': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2020-11,1,4,{'Battles': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2020-12,2,0,{'Violence against civilians': 2}
Aba Town Hall,ABSABA02,Aba South,Abia,2021-02,2,7,"{'Battles': 1, 'Riots': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2021-03,4,1,"{'Battles': 2, 'Explosions/Remote violence': 1, 'Violence against civilians': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2021-06,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2021-08,4,1,"{'Violence against civilians': 2, 'Riots': 1, 'Battles': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2021-09,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2021-10,2,1,{'Riots': 2}
Aba Town Hall,ABSABA02,Aba South,Abia,2021-12,1,0,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2022-01,3,4,"{'Riots': 2, 'Battles': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2022-02,3,0,"{'Riots': 1, 'Strategic developments': 1, 'Violence against civilians': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2022-03,2,3,"{'Riots': 1, 'Battles': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2022-04,3,10,{'Battles': 3}
Aba Town Hall,ABSABA02,Aba South,Abia,2022-06,1,0,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2022-08,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2022-09,1,0,{'Riots': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2022-10,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2022-11,3,0,{'Protests': 3}
Aba Town Hall,ABSABA02,Aba South,Abia,2022-12,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2023-01,2,3,"{'Protests': 1, 'Battles': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2023-02,2,7,"{'Riots': 1, 'Violence against civilians': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2023-03,1,5,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2023-05,4,7,"{'Violence against civilians': 2, 'Battles': 2}"
Aba Town Hall,ABSABA02,Aba South,Abia,2023-06,1,0,{'Violence against civilians': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2023-07,2,2,"{'Battles': 1, 'Violence against civilians': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2023-08,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2024-01,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2024-04,2,1,"{'Violence against civilians': 1, 'Protests': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2024-05,3,3,"{'Battles': 2, 'Violence against civilians': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2024-06,2,2,{'Battles': 2}
Aba Town Hall,ABSABA02,Aba South,Abia,2024-07,3,7,"{'Battles': 2, 'Strategic developments': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2024-08,1,1,{'Battles': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2024-09,1,2,{'Battles': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2024-10,4,4,{'Violence against civilians': 4}
Aba Town Hall,ABSABA02,Aba South,Abia,2024-11,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2024-12,3,2,"{'Violence against civilians': 2, 'Riots': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2025-01,2,0,"{'Battles': 1, 'Protests': 1}"
Aba Town Hall,ABSABA02,Aba South,Abia,2025-02,1,0,{'Protests': 1}
Aba Town Hall,ABSABA02,Aba South,Abia,2025-04,2,1,"{'Riots': 1, 'Protests': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2001-08,1,1,{'Violence against civilians': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2002-06,1,1,{'Riots': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2002-08,1,10,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2003-02,1,0,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2003-07,2,20,"{'Violence against civilians': 1, 'Battles': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2004-04,1,5,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2005-07,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2006-11,1,2,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2008-03,1,0,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2008-09,1,1,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2010-02,3,20,"{'Battles': 2, 'Violence against civilians': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2011-12,1,50,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2012-01,1,52,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2012-06,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2012-07,1,1,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2013-02,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2013-05,1,1,{'Riots': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2013-10,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2014-05,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2014-12,1,0,{'Violence against civilians': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2015-01,1,0,{'Violence against civilians': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2015-03,3,0,{'Protests': 3}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2015-05,1,0,{'Riots': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2015-07,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2015-09,1,0,{'Violence against civilians': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2015-12,2,0,{'Protests': 2}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2016-02,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2016-05,3,0,"{'Protests': 2, 'Riots': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2016-08,1,19,{'Riots': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2016-12,2,0,"{'Riots': 1, 'Protests': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2017-01,3,5,"{'Battles': 2, 'Riots': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2017-03,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2017-06,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2017-08,3,0,{'Riots': 3}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2017-09,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2018-01,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2018-03,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2018-04,1,0,{'Riots': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2018-05,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2018-06,1,0,{'Strategic developments': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2018-12,1,0,{'Violence against civilians': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2019-07,2,0,{'Protests': 2}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2019-08,2,1,"{'Riots': 1, 'Protests': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2019-09,1,0,{'Strategic developments': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2019-12,2,0,{'Protests': 2}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2020-01,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2020-02,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2020-04,1,1,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2020-05,1,1,{'Violence against civilians': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2020-10,5,2,"{'Protests': 3, 'Battles': 1, 'Strategic developments': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2020-11,2,3,"{'Battles': 1, 'Violence against civilians': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2021-01,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2021-03,2,0,{'Protests': 2}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2021-04,1,0,{'Strategic developments': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2021-05,2,2,{'Battles': 2}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2021-09,1,2,{'Riots': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2021-10,1,0,{'Riots': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2021-11,2,0,"{'Protests': 1, 'Riots': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2021-12,1,1,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2022-02,2,2,"{'Protests': 1, 'Battles': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2022-04,1,1,{'Violence against civilians': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2022-05,1,0,{'Violence against civilians': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2022-06,4,2,"{'Protests': 2, 'Violence against civilians': 2}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2022-07,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2022-08,3,1,"{'Strategic developments': 1, 'Protests': 1, 'Battles': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2022-09,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2022-10,3,0,"{'Violence against civilians': 1, 'Protests': 1, 'Battles': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2022-11,3,2,"{'Battles': 2, 'Violence against civilians': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2022-12,2,5,"{'Violence against civilians': 1, 'Battles': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2023-01,2,0,"{'Protests': 1, 'Violence against civilians': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2023-02,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2023-03,1,0,{'Violence against civilians': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2023-05,2,1,"{'Battles': 1, 'Protests': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2023-07,1,0,{'Violence against civilians': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2023-08,2,0,"{'Strategic developments': 1, 'Protests': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2023-10,3,4,"{'Violence against civilians': 2, 'Battles': 1}"
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2024-02,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2024-03,1,7,{'Battles': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2024-04,2,2,{'Battles': 2}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2024-05,2,0,{'Protests': 2}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2024-06,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2024-09,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2024-11,2,1,{'Violence against civilians': 2}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2024-12,1,0,{'Protests': 1}
Abakpa,EBSAKL01,Abakaliki,Ebonyi,2025-03,2,0,"{'Violence against civilians': 1, 'Protests': 1}"
Abayi 2,ABSNGK03,Obi Nwga,Abia,2024-05,1,5,{'Battles': 1}
Abayi 2,ABSNGK03,Obi Nwga,Abia,2025-03,2,0,"{'Riots': 1, 'Violence against civilians': 1}"
Abba 2,ANSABN06,Njikoka,Anambra,2002-09,1,4,{'Violence against civilians': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2012-07,1,0,{'Violence against civilians': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2015-08,1,0,{'Protests': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2015-11,1,0,{'Protests': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2016-11,1,1,{'Violence against civilians': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2019-07,1,2,{'Battles': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2021-04,1,0,{'Strategic developments': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2022-07,1,3,{'Battles': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2022-10,1,0,{'Violence against civilians': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2023-02,1,2,{'Battles': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2023-12,1,0,{'Violence against civilians': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2024-05,1,0,{'Violence against civilians': 1}
Abba 2,ANSABN06,Njikoka,Anambra,2024-12,1,0,{'Violence against civilians': 1}
Abejukolo 2,KGSBJK02,Omala,Kogi,2012-11,1,0,{'Protests': 1}
Abejukolo 2,KGSBJK02,Omala,Kogi,2015-07,1,3,{'Riots': 1}
Abejukolo 2,KGSBJK02,Omala,Kogi,2018-03,1,25,{'Violence against civilians': 1}
Abiokula 1 and 2,EDSABD06,Orhionmwon,Edo,2005-05,1,0,{'Riots': 1}
Abiokula 1 and 2,EDSABD06,Orhionmwon,Edo,2019-11,2,1,"{'Strategic developments': 1, 'Violence against civilians': 1}"
Aboru,LASAMO04,Alimosho,Lagos,2025-05,1,1,{'Battles': 1}
Abosan,LASIKU01,Ikorodu,Lagos,2025-04,1,0,{'Protests': 1}
Abule Egba / Ilupeju,LASIOE01,Ifako/Ijaye,Lagos,2002-09,1,1,{'Violence against civilians': 1}
Abule Egba / Ilupeju,LASIOE01,Ifako/Ijaye,Lagos,2016-01,1,4,{'Riots': 1}
Abule Egba / Ilupeju,LASIOE01,Ifako/Ijaye,Lagos,2022-09,1,0,{'Battles': 1}
Abule Osun Onireke,LASAON01,Amuwo Odofin,Lagos,2016-03,1,1,{'Battles': 1}
Abule Osun Onireke,LASAON01,Amuwo Odofin,Lagos,2017-12,1,0,{'Protests': 1}
Abule Osun Onireke,LASAON01,Amuwo Odofin,Lagos,2018-03,1,0,{'Protests': 1}
Abule Osun Onireke,LASAON01,Amuwo Odofin,Lagos,2018-08,1,0,{'Protests': 1}
Abule Osun Onireke,LASAON01,Amuwo Odofin,Lagos,2019-09,1,1,{'Violence against civilians': 1}
Abule Osun Onireke,LASAON01,Amuwo Odofin,Lagos,2020-08,1,0,{'Protests': 1}
Abule Osun Onireke,LASAON01,Amuwo Odofin,Lagos,2021-05,1,1,{'Riots': 1}
Abule Osun Onireke,LASAON01,Amuwo Odofin,Lagos,2022-12,1,1,{'Battles': 1}
Abule Osun Onireke,LASAON01,Amuwo Odofin,Lagos,2023-03,1,0,{'Violence against civilians': 1}
Abule Osun Onireke,LASAON01,Amuwo Odofin,Lagos,2024-03,1,0,{'Protests': 1}
Achalla 2,ANSACA02,Awka North,Anambra,2020-07,1,0,{'Violence against civilians': 1}
Achalla 2,ANSACA02,Awka North,Anambra,2021-03,1,1,{'Riots': 1}
Achalla 2,ANSACA02,Awka North,Anambra,2022-07,1,10,{'Battles': 1}
Achalla 2,ANSACA02,Awka North,Anambra,2024-02,1,0,{'Battles': 1}
Achara 3,ENSUWN11,Enugu South,Enugu,2022-06,2,3,{'Battles': 2}
Achi-Uno 3,ENSJRV03,Oji-River,Enugu,2022-11,1,2,{'Violence against civilians': 1}
Achi-Uno 3,ENSJRV03,Oji-River,Enugu,2025-04,2,7,{'Battles': 2}
Achina 1,ANSAGU01,Aguata,Anambra,2024-10,1,0,{'Battles': 1}
Achina 2,ANSAGU02,Aguata,Anambra,2019-08,1,0,{'Protests': 1}
Adabo,OYSSWT01,Saki West,Oyo,2000-05,1,12,{'Battles': 1}
Adabo,OYSSWT01,Saki West,Oyo,2012-12,1,0,{'Protests': 1}
Adabo,OYSSWT01,Saki West,Oyo,2018-02,1,1,{'Battles': 1}
Adabo,OYSSWT01,Saki West,Oyo,2020-08,1,1,{'Riots': 1}
Adabo,OYSSWT01,Saki West,Oyo,2021-01,1,0,{'Riots': 1}
Adabo,OYSSWT01,Saki West,Oyo,2021-03,2,1,{'Violence against civilians': 2}
Adabo,OYSSWT01,Saki West,Oyo,2021-05,1,0,{'Protests': 1}
Adabo,OYSSWT01,Saki West,Oyo,2023-03,1,0,{'Riots': 1}
Adazi Ani 1,ANSNEN03,Anaocha,Anambra,2022-03,1,2,{'Violence against civilians': 1}
Adazi Nnukwu 2,ANSNEN02,Anaocha,Anambra,2021-03,1,1,{'Battles': 1}
Adazi Nnukwu 2,ANSNEN02,Anaocha,Anambra,2021-05,1,0,{'Battles': 1}
Adazi Nnukwu 2,ANSNEN02,Anaocha,Anambra,2022-05,1,5,{'Violence against civilians': 1}
Adazi Nnukwu 2,ANSNEN02,Anaocha,Anambra,2024-03,1,0,{'Battles': 1}
Addo / Okeira,LASEOA02,Eti Osa,Lagos,2017-03,1,0,{'Protests': 1}
Addo / Okeira,LASEOA02,Eti Osa,Lagos,2023-09,1,1,{'Violence against civilians': 1}
Adeniran Ogunsanya,LASSUE01,Surulere,Lagos,2022-08,1,0,{'Riots': 1}
Adeniran Ogunsanya,LASSUE01,Surulere,Lagos,2022-10,2,0,"{'Protests': 1, 'Riots': 1}"
Adeniran Ogunsanya,LASSUE01,Surulere,Lagos,2023-01,1,1,{'Violence against civilians': 1}
Adeniran Ogunsanya,LASSUE01,Surulere,Lagos,2023-02,1,0,{'Riots': 1}
Adeniran Ogunsanya,LASSUE01,Surulere,Lagos,2024-02,1,0,{'Protests': 1}
Adeniran Ogunsanya,LASSUE01,Surulere,Lagos,2024-04,1,0,{'Riots': 1}
Adeniran Ogunsanya,LASSUE01,Surulere,Lagos,2025-04,1,0,{'Riots': 1}
Adeti,OSSIEW01,Ilesha West,Osun,2022-12,1,0,{'Violence against civilians': 1}
Adeti,OSSIEW01,Ilesha West,Osun,2025-02,1,0,{'Violence against civilians': 1}
Afaraukwu,ABSUMA01,Umuahia North,Abia,2023-12,1,0,{'Protests': 1}
Afaraukwu,ABSUMA01,Umuahia North,Abia,2024-11,1,1,{'Battles': 1}
Afariogun,LASOIO01,Oshodi/Isolo,Lagos,2017-08,1,1,{'Riots': 1}
Agadagba,BNSDKP01,Ohimini,Benue,2019-08,1,0,{'Strategic developments': 1}
Agadagba,BNSDKP01,Ohimini,Benue,2020-02,2,5,"{'Violence against civilians': 1, 'Battles': 1}"
Agbelekale,LASAMO06,Alimosho,Lagos,2023-12,1,0,{'Protests': 1}
Agbelekale,LASAMO06,Alimosho,Lagos,2024-07,1,1,{'Battles': 1}
Agbelekale,LASAMO06,Alimosho,Lagos,2024-08,3,2,{'Battles': 3}
Agbelekale,LASAMO06,Alimosho,Lagos,2024-12,1,1,{'Battles': 1}
Agbelekale,LASAMO06,Alimosho,Lagos,2025-07,1,1,{'Battles': 1}
Agborogbomo,OGSION03,Imeko Afon,Ogun,2025-04,1,2,{'Violence against civilians': 1}
Agbowa 2 / Ado,LASEPE02,Epe,Lagos,2014-08,1,0,{'Protests': 1}
Agbowa 2 / Ado,LASEPE02,Epe,Lagos,2014-12,1,0,{'Riots': 1}
Agbowa 2 / Ado,LASEPE02,Epe,Lagos,2016-07,1,3,{'Violence against civilians': 1}
Agbowa 2 / Ado,LASEPE02,Epe,Lagos,2017-04,1,0,{'Protests': 1}
Agbowa 2 / Ado,LASEPE02,Epe,Lagos,2021-07,1,1,{'Violence against civilians': 1}
Agbowo,OYSIBN01,Ibadan North,Oyo,2019-05,2,0,"{'Riots': 1, 'Strategic developments': 1}"
Agbowo,OYSIBN01,Ibadan North,Oyo,2019-07,3,1,"{'Violence against civilians': 1, 'Riots': 1, 'Protests': 1}"
Agbowo,OYSIBN01,Ibadan North,Oyo,2021-05,1,0,{'Protests': 1}
Agbowo,OYSIBN01,Ibadan North,Oyo,2021-06,8,5,"{'Protests': 4, 'Violence against civilians': 2, 'Battles': 1, 'Riots': 1}"
Agbowo,OYSIBN01,Ibadan North,Oyo,2022-03,4,0,"{'Protests': 2, 'Battles': 1, 'Violence against civilians': 1}"
Agbowo,OYSIBN01,Ibadan North,Oyo,2022-09,1,0,{'Protests': 1}
Agbowo,OYSIBN01,Ibadan North,Oyo,2023-01,1,0,{'Protests': 1}
Agbowo,OYSIBN01,Ibadan North,Oyo,2024-09,1,1,{'Battles': 1}
Agbowo,OYSIBN01,Ibadan North,Oyo,2024-11,1,1,{'Battles': 1}
Agbowo,OYSIBN01,Ibadan North,Oyo,2025-01,1,0,{'Violence against civilians': 1}
Agbowo,OYSIBN01,Ibadan North,Oyo,2025-02,1,0,{'Protests': 1}
Agbowo,OYSIBN01,Ibadan North,Oyo,2025-04,1,0,{'Protests': 1}
Agila / Igumale 2,BNSGMU01,Ado,Benue,2011-03,1,0,{'Violence against civilians': 1}
Agila / Igumale 2,BNSGMU01,Ado,Benue,2014-07,1,0,{'Battles': 1}
Agila / Igumale 2,BNSGMU01,Ado,Benue,2015-06,1,0,{'Riots': 1}
Agila / Igumale 2,BNSGMU01,Ado,Benue,2015-07,2,1,"{'Battles': 1, 'Riots': 1}"
Agila / Igumale 2,BNSGMU01,Ado,Benue,2016-10,1,4,{'Battles': 1}
Agila / Igumale 2,BNSGMU01,Ado,Benue,2020-01,2,1,{'Violence against civilians': 2}
